nombre,tiempo,ingredientes,tipo,comida,instrucciones,image_ruta
Tacos de carne y guacamole,30,"Tortillas de maíz o trigo, Carne de res, Cebolla morada, Tomate, Palta, Limón, Cilantro",C,cena,"1. Saltear la carne en tiras con especias. 2. Preparar el guacamole pisando la palta con tomate, cebolla, limón y cilantro. 3. Armar los tacos a gusto.","https://images.unsplash.com/photo-1504674900247-0877df9cc836?q=80&w=800"
Ensalada Caesar con pollo,20,"Lechuga capuchina o romana, Pechuga de pollo, Croutons, Parmesano, Aderezo Caesar",C,cena,"1. Grillar el pollo y cortarlo. 2. En un bol, mezclar lechuga, pollo, croutons y queso. 3. Condimentar con el aderezo.","https://images.unsplash.com/photo-1550304943-4f24f54ddde9?q=80&w=800"
Berenjenas a la parmesana,45,"Berenjenas, Salsa de tomate, Mozzarella, Albahaca, Pan rallado",V,cena,"1. Rebozar y freír láminas de berenjena. 2. En una fuente, intercalar berenjena, salsa y queso. 3. Espolvorear con parmesano y hornear.","https://images.unsplash.com/photo-1625938146369-adc83368bca5?q=80&w=800"
Bondiola de cerdo a la cerveza negra,90,"Bondiola de cerdo, Cerveza negra, Miel, Mostaza, Batatas, Cebollas",C,cena,"1. Sellar la bondiola. 2. Agregar cebollas, cerveza, miel y mostaza. 3. Cocinar a fuego muy lento por 1.5 hs. 4. Acompañar con batatas asadas.","https://images.unsplash.com/photo-1544025162-d76694265947?q=80&w=800"
Fideos con pesto de albahaca y nuez,15,"Pasta seca, Albahaca fresca, Nueces, Ajo, Aceite de oliva, Queso rallado",V,cena,"1. Procesar albahaca, nueces, ajo y aceite hasta formar una pasta. 2. Hervir la pasta. 3. Mezclar con el pesto y un poco de agua de cocción.","https://images.unsplash.com/photo-1473093226795-af9932fe5856?q=80&w=800"
Ñoquis de calabaza caseros,40,"Pure de calabaza, Harina, Huevo, Nuez moscada, Salsa de manteca y salvia",V,cena,"1. Mezclar puré de calabaza seco con huevo y harina. 2. Formar los ñoquis. 3. Hervir hasta que floten. 4. Saltear en manteca con salvia.","https://images.unsplash.com/photo-1551183053-bf91a1d81141?q=80&w=800"
Bowl de quinoa y vegetales asados,30,"Quinoa, Calabaza, Choclo, Palta, Garbanzos, Espinaca, Tahini",G,cena,"1. Cocinar la quinoa. 2. Asar la calabaza y choclo. 3. Armar el bowl con todos los ingredientes. 4. Aliñar con salsa de tahini y limón.","https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800"
Sopa de zapallo y jengibre cremosa,30,"Zapallo cabutia, Cebolla, Caldo, Jengibre fresco, Crema de leche",V,cena,"1. Saltear cebolla y zapallo en cubos. 2. Cubrir con caldo y cocinar hasta que esté tierno. 3. Licuar con jengibre rallado. 4. Terminar con un toque de crema.","https://images.unsplash.com/photo-1476718406336-bb5a9690ee2a?q=80&w=800"
Hamburguesas de lentejas y avena,25,"Lentejas cocidas, Avena fina, Cebolla, Zanahoria rallada, Especias",V,cena,"1. Procesar ligeramente las lentejas. 2. Mezclar con vegetales salteados, avena y condimentos. 3. Formar las hamburguesas. 4. Cocinar a la plancha.","https://images.unsplash.com/photo-1525059696034-476775900281?q=80&w=800"
Curry de garbanzos y leche de coco,25,"Garbanzos, Leche de coco, Curry en polvo, Espinaca, Arroz basmati",G,cena,"1. Saltear especias y garbanzos. 2. Agregar leche de coco y dejar reducir. 3. Sumar espinaca al final. 4. Servir sobre arroz basmati.","https://images.unsplash.com/photo-1585937421612-70a008356fbe?q=80&w=800"
Budín de banana y nuez (Desayuno),10,"Bananas maduras, Harina de avena, Huevos, Nueces, Canela",G,desayuno,"1. Pisar las bananas. 2. Mezclar con huevos, harina de avena y canela. 3. Agregar nueces picadas. 4. Hornear 40 min a 180°C.","https://images.unsplash.com/photo-1541332246502-2e99eaa96cc1?q=80&w=800"
Pancakes de avena y arándanos,15,"Avena, Banana, Leche, Arándanos, Miel",G,desayuno,"1. Licuar avena, banana y leche. 2. Agregar arándanos enteros. 3. Cocinar pequeñas porciones en sartén antiadherente. 4. Servir con miel.","https://images.unsplash.com/photo-1554520735-0ad66a951bb4?q=80&w=800"
Omelette de queso y espinaca,10,"Huevos, Queso mozzarella, Espinaca fresca, Sal y pimienta",C,desayuno,"1. Batir los huevos. 2. Volcar en sartén caliente. 3. Rellenar con queso y espinaca picada. 4. Doblar y servir.","https://images.unsplash.com/photo-1510693395972-18845c6a2690?q=80&w=800"
Chia pudding con frutas rojas,5,"Semillas de chia, Leche de almendras, Miel, Frutillas, Arándanos",G,desayuno,"1. Mezclar chia con leche y miel. 2. Dejar reposar en heladera toda la noche. 3. Servir con frutas frescas por encima.","https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=800"
Tostado de jamón y queso clásico,10,"Pan de molde, Jamón cocido, Queso tybo o mozzarella, Manteca",C,desayuno,"1. Armar el sándwich con abundante queso. 2. Untar la cara exterior del pan con manteca. 3. Tostar en plancha o sandwichera hasta que esté crocante.","https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=800"
Granola casera con yogur,5,"Avena, Miel, Frutos secos, Semillas, Yogur natural, Frutas",G,desayuno,"1. Servir el yogur en un bol. 2. Agregar granola casera. 3. Sumar frutas frescas de estación.","https://images.unsplash.com/photo-1494390248081-4e521a5940db?q=80&w=800"
Huevos Benedictinos simplificados,20,"Pan de campo, Huevos poché, Jamón, Salsa holandesa o mayonesa con limón",C,desayuno,"1. Tostar el pan. 2. Hacer los huevos poché (4 min en agua hirviendo). 3. Armar sobre el pan con jamón y salsa.","https://images.unsplash.com/photo-1600335895229-6e75511892c8?q=80&w=800"
Smoothie de espinaca y piña,5,"Espinaca, Piña, Banana, Agua de coco",G,desayuno,"1. Poner todos los ingredientes en la licuadora. 2. Procesar hasta que esté suave. 3. Servir bien frío.","https://images.unsplash.com/photo-1556881286-fc6915169721?q=80&w=800"
Avocado toast con huevo,10,"Pan integral, Palta, Huevo, Semillas de sésamo, Chili flakes",V,desayuno,"1. Tostar el pan. 2. Pisar la palta con sal y limón. 3. Preparar un huevo (frito o poché). 4. Armar y decorar con semillas.","https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=800"
Muffins de zanahoria y jengibre,15,"Zanahoria rallada, Harina integral, Azúcar mascabo, Aceite, Canela",V,desayuno,"1. Mezclar ingredientes húmedos con secos. 2. Agregar la zanahoria rallada. 3. Colocar en moldes de muffins. 4. Hornear 20-25 min.","https://images.unsplash.com/photo-1583008432379-31741215b3c2?q=80&w=800"
Shakshuka (Huevos con tomate),25,"Huevos, Tomate triturado, Pimiento rojo, Cebolla, Comino, Pimentón",C,desayuno,"1. Hacer un sofrito de cebolla, pimiento y tomate. 2. Condimentar bien. 3. Hacer huecos y romper los huevos dentro. 4. Cocinar tapado hasta que cuajen.","https://images.unsplash.com/photo-1590412200988-a436970781fa?q=80&w=800"
Porridge de avena y manzana,10,"Avena, Leche o agua, Manzana rallada, Canela, Miel",G,desayuno,"1. Cocinar la avena con el líquido. 2. Agregar la manzana y canela. 3. Endulzar con miel al servir.","https://images.unsplash.com/photo-1517673132405-a56a62b18caf?q=80&w=800"
French Toast (Torrijas),15,"Pan brioche o lactal, Huevo, Leche, Vainilla, Canela, Azúcar",V,desayuno,"1. Remojar el pan en mezcla de huevo, leche y vainilla. 2. Dorar en sartén con manteca. 3. Espolvorear con azúcar y canela.","https://images.unsplash.com/photo-1484723091739-30a097e8f929?q=80&w=800"
Bagel con salmón y cream cheese,10,"Bagel, Queso crema, Salmón ahumado, Alcaparras, Eneldo",C,desayuno,"1. Tostar el bagel. 2. Untar generosamente con queso crema. 3. Armar con el salmón y condimentos.","https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=800"
Tortilla de avena y manzana,15,"Avena, Huevo, Manzana picada, Canela",G,desayuno,"1. Mezclar todo en un bol. 2. Volcar en sartén pequeña. 3. Cocinar de ambos lados como una tortilla. 4. Servir tibia.","https://images.unsplash.com/photo-1525351484163-7529414344d8?q=80&w=800"
Frutas de estación con miel y nuez,5,"Manzana, Pera, Banana, Miel, Nueces",G,desayuno,"1. Cortar las frutas en trozos. 2. Mezclar en un bol. 3. Agregar nueces picadas y un hilo de miel.","https://images.unsplash.com/photo-1490818387583-1baba5e638af?q=80&w=800"
Pan con tomate (Pa amb tomàquet),5,"Pan de hogaza, Tomate maduro, Ajo, Aceite de oliva, Sal",V,desayuno,"1. Tostar el pan. 2. Refregar el diente de ajo. 3. Refregar medio tomate hasta que quede la pulpa. 4. Terminar con aceite y sal.","https://images.unsplash.com/photo-1539755530864-dd4d7cfce0a9?q=80&w=800"
Burrito de desayuno,15,"Tortilla, Huevos revueltos, Porotos negros, Queso, Palta",C,desayuno,"1. Hacer los huevos revueltos. 2. Calentar la tortilla y porotos. 3. Armar el burrito con todos los ingredientes.","https://images.unsplash.com/photo-1626700051175-6818013e1d4f?q=80&w=800"
Yogur griego con higos y pistachos,5,"Yogur griego, Higos frescos, Pistachos, Miel",G,desayuno,"1. Poner el yogur en un bol. 2. Agregar higos trozados y pistachos picados. 3. Endulzar con miel.","https://images.unsplash.com/photo-1488477181946-6428a0291777?q=80&w=800"
Galletas de avena y coco express,10,"Banana, Avena, Coco rallado",G,desayuno,"1. Pisar la banana y mezclar con avena y coco. 2. Formar galletas. 3. Hornear 15 min. Ideales para llevar.","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?q=80&w=800"
